CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Co-Financial Advisor,Bond Counsel Fee,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1984-0639,Oakland Housing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,02/28/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Housing Authority,St Mark Apts,7465000,7465000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,7.949,NIC,,,,05/01/1987 12:00:00 AM,N/A,NOT RATED,M:MIG2,NOT RATED,NOT RATED,Oth,,Neg,Unknown,Boettcher & Co,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,201425,,,,,,,,,
2016-3337,Alameda County Joint Powers Authority,2016-3337.pdf (http://cdiacdocs.sto.ca.gov/2016-3337.pdf),SOLD,10/27/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Juvenile Justice,98470000,0,98470000,17080473.45,Public lease revenue bond,"Prisons, Jails, Correctional Facilities",General fund of issuing jurisdiction,0,3.047,,,,12/01/2026 12:00:00 AM,12/01/2034 12:00:00 AM,NO,S:AA,M:Aa1,F:AA+,NOT RATED,,,Neg,NO,Citigroup Global Markets Inc,,,,KNN Public Finance,,80750,Hawkins Delafield & Wood LLP,,Curls Bartling PC,,U.S. Bank National Association,0.7,692878.5,0,0,0,241424.5,0,75000,0,47500,0,6200,0,153500,88504
1991-1368,Hayward,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/02/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,7115000,7115000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,6.843,NIC,,,,,N/A,S:A-,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Lehman Brothers,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,1.53,108930.93,,,,124512.05,,,,,,,,,
2010-0475,Alameda Unified School District,2010-0475.pdf (http://cdiacdocs.sto.ca.gov/2010-0475.pdf),SOLD,06/15/2010 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,9500000,9500000,0,112765,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,1.221,,TIC,,,,06/30/2011 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Oppenheimer & Company Inc,,,,A M Peche & Associates,,13126,Jones Hall A Professional Law Corp,,,,Alameda County,0.77,73026.46,,,,40245,,13855.46,,0,,0,0,5800,0
1995-0768,Emeryville Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/06/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,14300000,7131252,7168748,,Revenue bond,Multifamily Housing,Local obligations,6.32,,TIC,,,,09/01/2025 12:00:00 AM,N/A,S:A,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,,,Keck Mahin & Cate,,,,Bank of America NT & SA,0.59,85000,,,,135850,,,,,,,,,
2001-1450,Hayward Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,05/09/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Copiers,104580,104580,0,0,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,,6,NIC,,,,02/15/2006 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Kansas State Bank of Manhattan,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-1374,Hayward Unified School District,2012-1374.pdf (http://cdiacdocs.sto.ca.gov/2012-1374.pdf),SOLD,08/14/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,15565000,0,15565000,69663.65,Certificates of participation/leases,K-12 School Facility,Bond proceeds,3.788,,,,,06/01/2022 12:00:00 AM,06/01/2032 12:00:00 AM,NO,S:AA-/A,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Comp,NO,Raymond James & Associates Inc,,,,Government Financial Strategies Inc,,41250,Lozano Smith LLP,,,,The Bank of New York Mellon Trust Company NA,3.25,506466.72,194013.75,51451.11,0,245464.86,0,0,0,0,0,0,176287.45,0,43464.41
2015-0928,Oakland,2015-0928.pdf (http://cdiacdocs.sto.ca.gov/2015-0928.pdf),SOLD,06/10/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Series B,108975000,108975000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,0.489,0,,,Federally Taxable,,06/30/2016 12:00:00 AM,NO,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,,,Comp,NO,JP Morgan Securities LLC,,,,The PFM Group/Public Financial Management Inc,,16987.57,Hawkins Delafield & Wood LLP,,,,Wilmington Trust,0.15,165561.07,0,0,0,74103,0,17159.16,0,14413.7,0,686.37,0,37063.8,5147.47
1985-1120,ABAG Finance Corporation,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/27/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,"Corte Madera, Daly City",4625000,4625000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,9.69,NIC,,,,,N/A,S:BBB+(p),NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Kelling Northcross & Nobriga Inc,,,,,,,Jones Hall Hill & White,,,,,2.03,94000,,,,147687,,,,,,,,,
1994-1185,Oakland,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/19/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Children's Hosp Med Ctr of Northern CA,22800000,22800000,0,,Conduit revenue bond,Hospital,Private obligor payments,,,VAR,,,,07/01/1999 12:00:00 AM,N/A,S:AA,NOT RATED,NOT RATED,NOT RATED,LOC,Banque Nationale de Paris,Comp,Unknown,Cain Brothers & Co,,,,,,,Brown & Wood,,,,,1.13,258654,,,,193000,,,,,,,,,
2014-1947,Successor Agency to the Alameda Community Improvement Commission,2014-1947.pdf (http://cdiacdocs.sto.ca.gov/2014-1947.pdf),SOLD,12/09/2014 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Successor Agency,Series B,25080000,0,25080000,-18979.5,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,3.392,,,,Federally Taxable,09/01/2024 12:00:00 AM,09/01/2026 12:00:00 AM,NO,S:AA/A+,NOT RATED,NOT RATED,NOT RATED,Ins,Build America Mutual Assurance Company/BAM,Neg,NO,Piper Jaffray & Co,,,,The PFM Group/Public Financial Management Inc,,,Quint & Thimmig LLP,,Quint & Thimmig LLP,,MUFG/Mitsubishi UFG Union Bank,1.33,333669.46,,,,87780,,,,,,,101348.87,,144540.59
1985-0154,Berkeley,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/30/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Herrick Foundation Series A,25000000,15675000,9325000,0,Conduit revenue bond,Hospital,Private obligor payments,,9.527,NIC,,,,,NO,S:A,M:A,NOT RATED,NOT RATED,Oth,Unknown,Neg,Unknown,Goldman Sachs & Company,,,,,,0,Orrick Herrington & Sutcliffe LLP,,,,,0,0,0,0,0,612500,0,0,0,0,0,0,0,0,0
2000-1313,Hayward Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,05/23/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Gestetner Copiers,22306,22306,0,0,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,,7.591,NIC,,,,01/15/2005 12:00:00 AM,NO,NOT RATED,M:Baa1,NOT RATED,NOT RATED,,,Neg,Unknown,Kansas State Bank of Manhattan,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-0848,Hayward Unified School District,2015-0848.pdf (http://cdiacdocs.sto.ca.gov/2015-0848.pdf),SOLD,07/23/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,208185000,95000000,113185000,12619572.55,General obligation bond,K-12 School Facility,Bond proceeds,4.09,4.24,,,,08/01/2024 12:00:00 AM,08/01/2040 12:00:00 AM,NO,S:AA/A+,M:A2/A3,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,NO,Citigroup Global Markets Inc,,,,Government Financial Strategies Inc,,68630,Lozano Smith LLP,,,,U.S. Bank National Association,0.61,1266684.67,395668.75,0,54042.23,449710.98,0,91875,0,0,0,4395,459579.03,182000,10494.66
2005-1928,Emeryville Redevelopment Agency,2005-1928.pdf (http://cdiacdocs.sto.ca.gov/2005-1928.pdf),SOLD,12/16/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Bay St Apts,21000000,21000000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,12/27/2005 12:00:00 AM,10/15/2036 12:00:00 AM,NO,NOT RATED,M:Aa1/VMIG1,NOT RATED,NOT RATED,LOC,Bank of America NA,Neg,Unknown,Red Capital Markets Inc,,,,,,,Quint & Thimmig LLP,,,,Wells Fargo Bank National Association,,,,,,97125,,,,,,,,,
2000-1312,Hayward Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,05/23/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Gestetner Copier,46812,46812,0,0,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,,7.591,NIC,,,,01/15/2005 12:00:00 AM,NO,NOT RATED,M:Baa1,NOT RATED,NOT RATED,,,Neg,YES,,,Kansas State Bank of Manhattan,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-0715,Hayward Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/14/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Equipment,820000,0,820000,0,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,,5.654,NIC,,,,,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,Transocean Funding Inc,,0,Joseph J Hughes,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-0968,Livermore Area Recreation and Park District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/13/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Park & Recreation District,Robert Livermore,3550000,3550000,0,,Certificates of participation/leases,Recreation and Sports Facilities,General fund of issuing jurisdiction,,6.851,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Shearson Lehman Hutton Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,4.69,166474,,,,33725,,,,,,,,,
2013-1855,Hayward CFD No 1,2013-1855.pdf (http://cdiacdocs.sto.ca.gov/2013-1855.pdf),SOLD,10/16/2013 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Mello-Roos,Community Facilities District,Eden Shores,7076294,597033.6,6479260.4,0,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,4.13,4.13,,,,09/01/2024 12:00:00 AM,09/01/2032 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Western Alliance Bancorporation,Southwest Securities Inc,NHA Advisors,,0,Jones Hall A Professional Law Corp,,,,Wells Fargo Bank National Association,3.41,240968.9,0,0,0,38500,30000,75000,0,0,0,4750,0,0,92718.9
1998-0374,Livermore Area Recreation and Park District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,03/26/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Park & Recreation District,Robert Livermore Park,2133159,0,2133159,,Certificates of participation/leases,"Parks, Open Space",General fund of issuing jurisdiction,,5.24,NIC,,,,09/01/2005 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Zions Bank,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall A Professional Law Corp,,,,Union Bank of California,1.8,38450,,,,0,,,,,,,,,
2013-2086,Hayward,2013-2086.pdf (http://cdiacdocs.sto.ca.gov/2013-2086.pdf),SOLD,12/18/2013 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Hayward Sr Hsg Phase II Series A,5281574,5281574,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,VAR,,,12/19/2013 12:00:00 AM,12/01/2018 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Silicon Valley Bank,,CSG Advisors,,45000,Jones Hall A Professional Law Corp,,,,,1.04,55000,,,,,,,,,,,,,10000
2009-0880,Hayward Unified School District,2009-0880.pdf (http://cdiacdocs.sto.ca.gov/2009-0880.pdf),SOLD,07/30/2009 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,7375000,88289,7286711,0,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,4.23,,TIC,,,08/01/2009 12:00:00 AM,08/01/2018 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Comp,YES,,,Bank of America NA,,Government Financial Strategies Inc,,18350,Lozano Smith LLP,,,,,1.2,88289,0,0,46875,46875,0,15600,0,0,0,0,0,0,7464
